feature,importance
log1p__promien_planety,9.815564739645106
passthrough__log_grawitacji,3.8559488848225194
log1p__stosunek_sygnal_szum,3.728785771943628
passthrough__temperatura_rownowagi,2.7375360386247514
log1p__okres_orbitalny,2.4885309143045604
log1p__glebokosc_tranzytu,2.433810273722148
log1p__insolacja,2.314372356668199
passthrough__czas_trwania,1.0157948150104974
passthrough__temperatura_efektywna,0.822027525556528
passthrough__jasnosc_kepler,0.7100343793490573
passthrough__koi_tce_plnt_num,0.4356793501326285
passthrough__promien_gwiazdy,0.3951753987321015
passthrough__koi_time0bk,0.22806458299011761
passthrough__parametr_zderzenia,0.20228288426526042
