feature,importance
log1p__promien_planety,0.1820527987325753
log1p__stosunek_sygnal_szum,0.15993960724865539
passthrough__parametr_zderzenia,0.1035628340280039
log1p__okres_orbitalny,0.08986704592735023
log1p__glebokosc_tranzytu,0.08871799764548723
log1p__insolacja,0.06659085029571449
passthrough__czas_trwania,0.0654848076125622
passthrough__temperatura_rownowagi,0.06388515141991073
passthrough__koi_time0bk,0.041750731778084145
passthrough__promien_gwiazdy,0.03499220092683512
passthrough__temperatura_efektywna,0.02997271332300927
passthrough__log_grawitacji,0.028650092657101004
passthrough__jasnosc_kepler,0.023612350719541247
passthrough__koi_tce_plnt_num,0.02092081768516987
