feature,importance
log1p__promien_planety,0.26191708
log1p__stosunek_sygnal_szum,0.15129763
log1p__okres_orbitalny,0.09433684
passthrough__koi_tce_plnt_num,0.078360096
log1p__insolacja,0.07449736
passthrough__temperatura_rownowagi,0.058476645
passthrough__czas_trwania,0.055703234
passthrough__parametr_zderzenia,0.046415128
passthrough__promien_gwiazdy,0.03507061
log1p__glebokosc_tranzytu,0.033809863
passthrough__log_grawitacji,0.03145357
passthrough__temperatura_efektywna,0.030187815
passthrough__koi_time0bk,0.025978426
passthrough__jasnosc_kepler,0.022495635
