,n_outlierow,outliery_%,dolna_granica,gorna_granica
okres_orbitalny,1202,16.43,-48.683,87.105
parametr_zderzenia,77,1.05,-0.814,1.955
czas_trwania,686,9.38,-3.329,12.289
glebokosc_tranzytu,1472,20.12,-3701.275,6660.925
promien_planety,723,9.88,-34.375,61.345
temperatura_rownowagi,274,3.75,-846.875,2902.125
insolacja,1069,14.61,-1743.38,2967.9
stosunek_sygnal_szum,1254,17.14,-147.9,285.7
temperatura_efektywna,452,6.18,4111.0,7335.0
log_grawitacji,488,6.67,3.702,5.047
promien_gwiazdy,756,10.33,0.022,2.174
jasnosc_kepler,125,1.71,10.564,18.144
