,count,mean,std,min,25%,50%,75%,max,skośność,kurtoza,IQR,brak_danych_%
okres_orbitalny,7316.0,58.81673824679538,121.08239755249406,0.241842544,2.23741220375,8.507656897,36.18463,1071.232624,2.758248611806777,7.634959558621681,33.94721779625,0.0
parametr_zderzenia,7016.0,0.7967733323831242,3.6686247071067104,0.0,0.224,0.576,0.91625,100.806,21.9092850220446,517.8598752603809,0.69225,4.100601421541826
czas_trwania,7316.0,5.865646155002733,6.965178105080841,0.1046,2.527525,3.90475,6.432175,138.54,5.942676028464502,60.94323122076093,3.90465,0.0
glebokosc_tranzytu,7016.0,30620.113982326115,92873.98494190996,0.8,184.55,507.45000000000005,2775.1,1541400.0,4.563458525413717,29.05838907467996,2590.5499999999997,4.100601421541826
promien_planety,7016.0,129.97391676168758,3519.6239528187325,0.08,1.52,2.68,25.450000000000003,200346.0,45.66235300791385,2277.6732725973957,23.930000000000003,4.100601421541826
temperatura_rownowagi,7016.0,1148.5956385404788,898.3266120402537,92.0,559.0,928.0,1496.25,14667.0,3.191955078430472,23.071834396200344,937.25,4.100601421541826
insolacja,7057.0,8485.673643191158,160221.8689784937,0.02,23.35,176.51,1201.17,10947554.55,51.467270141749,3219.708455258652,1177.8200000000002,3.5401858939311097
stosunek_sygnal_szum,7016.0,326.634421322691,891.66763015449,0.0,14.7,30.75,123.1,9054.7,4.6439053905267444,26.19389758964739,108.39999999999999,4.100601421541826
temperatura_efektywna,7016.0,5727.70681299886,825.2215364158602,2661.0,5320.0,5779.5,6126.0,15896.0,0.9022857608247321,8.284395844371257,806.0,4.100601421541826
log_grawitacji,7016.0,4.303515535917901,0.44462645446109117,0.047,4.2067499999999995,4.438,4.543,5.283,-3.3992036317189824,18.045552624178967,0.3362500000000006,4.100601421541826
promien_gwiazdy,7016.0,1.7792880558722919,6.203125715604825,0.116,0.829,1.0,1.367,229.908,20.29598550044673,532.8381032626114,0.538,4.100601421541826
jasnosc_kepler,7315.0,14.242005468215993,1.4068767753833695,6.966,13.407,14.483,15.302,20.003,-0.7356210765767641,1.2267978961743715,1.8949999999999996,0.013668671405139419
